Id,Project,Reporter,Assigned To,Priority,Severity,Reproducibility,Product Version,Category,Date Submitted,OS,OS Version,Platform,View Status,Updated,Summary,Status,Resolution,Fixed in Version
0001218,QA28,ninaD,ai_ivanov,low,minor,always,,General,2023-07-04,,,,private,2023-07-04,"Сайт проекта ""Студия Арины Давыдовой"" не открывается при попытке перехода по ссылке",assigned,open,
0001217,QA28,ninaD,ai_ivanov,normal,text,always,,General,2023-07-03,,,,private,2023-07-03,"Орфографическая ошибка в заголовке страницы ""Расчет стоимости проекта""",assigned,open,
0001212,QA28,ninaD,ai_ivanov,normal,minor,always,,General,2023-07-03,,,,private,2023-07-03,"Не кликабельная ссылка ""Blockchain"" в UA и EN локализациях",assigned,open,
0001216,QA28,ninaD,ai_ivanov,normal,minor,always,,General,2023-07-03,,,,private,2023-07-03,"Нефункциональная и не кликабельная ссылка ""https://avada-media.ua/"" на странице ""PERSONAL DATA PROCESSING AGREEMENT""",assigned,open,
0001215,QA28,ninaD,ai_ivanov,normal,minor,always,,General,2023-07-03,,,,private,2023-07-03,"Не кликабельная ссылка ""Android"" в UA локализации в разделе ""F.A.Q"" , в меню сайта",assigned,open,
0001211,QA28,ninaD,ai_ivanov,normal,minor,always,,General,2023-07-03,,,,private,2023-07-03,"Отсутствует перечень актуальных вакансий при заполнении формы ""Отправить резюме"", в футере раздела ""Контакты""",assigned,open,
0001210,QA28,ninaD,ai_ivanov,normal,major,always,,General,2023-07-03,,,,private,2023-07-03,"Отсутствует валидация полей ФИО, номер телефона в форме в разделе ""Расчет стоимости""",assigned,open,
0001209,QA28,ninaD,ai_ivanov,low,text,always,,General,2023-07-03,,,,private,2023-07-03,"Орфографическая ошибка при RU локализации на странице  ""Расчет стоимости""",assigned,open,
0001213,QA28,ninaD,ai_ivanov,normal,major,always,,General,2023-07-03,,,,private,2023-07-03,Наложение логотипа на активный элемент главной страницы,assigned,open,
0001214,QA28,ninaD,ai_ivanov,low,minor,always,,General,2023-07-03,,,,private,2023-07-03,"Отсутствует локализация  UA  в разделе ""Стрічка""",assigned,open,
0001203,QA28,Denis,ai_ivanov,low,trivial,always,,General,2023-07-03,,,,private,2023-07-03,Количество символов в поисковой строке достигает 1514 символов.,assigned,open,
0001201,QA28,Denis,ai_ivanov,high,tweak,always,,General,2023-07-03,,,Windows,private,2023-07-03,Не читаемость текста на главном банере в разделе РАЗРАБОТКА МОБИЛЬНЫХ ПРИЛОЖЕНИЙ ДЛЯ IOS в русской локализации.,assigned,open,
0001202,QA28,Denis,ai_ivanov,high,trivial,always,,General,2023-07-03,,,,private,2023-07-03,"При заполнении формы ""З'ЯВИЛИСЯ ПИТАННЯ?"" не корректными данными, не указано, какое именно поле содержит ошибку.",assigned,open,
0001200,QA28,ChumAlex,,low,text,have not tried,,General,2023-07-02,,,,public,2023-07-02,Отсутствует локализация UA в названии товара,new,open,
0001199,QA28,ChumAlex,,low,text,have not tried,,General,2023-07-02,,,,public,2023-07-02,Отсутствует локализация UA в названии товара,new,open,
0001198,QA28,ChumAlex,,low,text,have not tried,,General,2023-07-02,,,,public,2023-07-02,Отсутствует локализация UA в названии товара,new,open,
0001197,QA28,ChumAlex,,low,text,have not tried,,General,2023-07-02,,,,public,2023-07-02,Отсутствует локализация UA в названии товара,new,open,
